un-mechanism-code,un-mechanism,year,country,concerned-group,human-rights-theme,annotaion-type,term
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Civil society,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Constitutional & legislative framework,Concerns/Observations,not provided
