un-mechanism-code,un-mechanism,year,country,concerned-group,human-rights-theme,annotaion-type,term
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Cooperation & Follow up with Treaty Bodies,Concerns/Observations,Pending follow-up issues from the previous reporting cycle
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,National Human Rights Institution (NHRI),Concerns/Observations,Pending follow-up issues from the previous reporting cycle
CAT,Committee against Torture, 2024,Republic of Korea,Military personnel,Cooperation & Follow up with Treaty Bodies,Concerns/Observations,Pending follow-up issues from the previous reporting cycle
CAT,Committee against Torture, 2024,Republic of Korea,Military personnel,National Human Rights Institution (NHRI),Concerns/Observations,Pending follow-up issues from the previous reporting cycle
CAT,Committee against Torture, 2024,Republic of Korea,Public officials, Right to physical & moral integrity,Concerns/Observations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Death penalty,Concerns/Observations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Constitutional & legislative framework,Concerns/Observations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials, Right to physical & moral integrity,Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Rule of law & impunity,Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Legal & institutional reform,Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Death penalty,Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Constitutional & legislative framework,Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Definition and criminalization of torture
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Rule of law & impunity,Concerns/Observations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Constitutional & legislative framework,Concerns/Observations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,not provided,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Rule of law & impunity,Recommendations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Constitutional & legislative framework,Recommendations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,not provided,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Statute of limitations
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Rule of law & impunity,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Children: juvenile justice,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Administration of justice & fair trial,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Private life & privacy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Access to justice & remedy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Right to health,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Conditions of detention,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Rule of law & impunity,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Children: juvenile justice,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Administration of justice & fair trial,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Private life & privacy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Access to justice & remedy,Concerns/Observations,Fundamental legal safeguards
