year,country,term,concerned-group,human-rights-theme,annotaion type
 A/HRC/55/44/ADD.1 (SR Cultural rights 2024 ) ,['Germany'],not provided,"['Civil society', 'Vulnerable persons/groups', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'Cooperation & consultation with civil society', 'Human rights education, trainings & awareness raising', 'National Human Rights Action Plans (or specific areas) / implementation plans', 'Racial discrimination', 'Constitutional & legislative framework', 'International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)']",['Concerns/Observations']
 A/HRC/55/44/ADD.1 (SR Cultural rights 2024 ) ,['Germany'],not provided,"['Law enforcement / police & prison officials', 'Public officials', 'Vulnerable persons/groups', 'Media', 'Judges, lawyers and prosecutors', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Economic, social & cultural rights - general measures of implementation', 'Cultural rights', 'Good governance & corruption', 'Cooperation & Follow up with Treaty Bodies', 'Human rights education, trainings & awareness raising', 'Constitutional & legislative framework', ' Civil & political rights - general measures of implementation', 'Data collection & research', ' Participation of women in political & public life\xa0', ' Scope of international obligations', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/55/44/ADD.1 (SR Cultural rights 2024 ) ,['Germany'],not provided,"['Refugees & asylum seekers', 'Migrants', 'Educational staff & students', 'Vulnerable persons/groups', 'Women & girls', 'Media', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups', 'Persons with disabilities']","['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'Human rights education, trainings & awareness raising', 'Racial discrimination', 'Constitutional & legislative framework', 'Ratification of & accession to international instruments', 'Right to participate in public affairs & right to vote', ' Participation of women in political & public life\xa0', 'Discrimination against women']",['Recommendations']
 A/HRC/55/44/ADD.1 (SR Cultural rights 2024 ) ,['Germany'],not provided,"['Refugees & asylum seekers', 'Migrants', 'Lesbian, gay, bisexual and transgender and intersex persons (LGBTI)', 'Vulnerable persons/groups', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'Human rights education, trainings & awareness raising', 'Racial discrimination', 'Right to health']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups', 'Non-citizens']","['Equality & non-discrimination', 'Cultural rights', 'Freedom of thought, conscience & religion', 'Constitutional & legislative framework']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Cooperation with human rights mechanisms & requests for technical assistance', 'Constitutional & legislative framework', 'Cooperation & follow up with the Universal Periodic Review (UPR)', 'Cooperation & Follow up with Special Procedures']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Lesbian, gay, bisexual and transgender and intersex persons (LGBTI)', 'Women & girls']","['Violence against women', 'Cultural rights', 'Sexual & gender-based violence', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)', 'Discrimination against women']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Human rights defenders & activists', 'Civil society']","['Economic, social & cultural rights - general measures of implementation', 'Cultural rights', 'Freedom of association', 'Cooperation & consultation with civil society', 'Constitutional & legislative framework', 'Cooperation & follow up with the Universal Periodic Review (UPR)', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Civil society'],"['Cultural rights', 'Legal & institutional reform', 'Cooperation & consultation with civil society', 'Constitutional & legislative framework']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups', 'Persons with disabilities']","['Cultural rights', 'Good governance & corruption', 'Legal & institutional reform', 'Human rights education, trainings & awareness raising', 'Human rights & the environment', 'Human rights & climate change', ' Scope of international obligations', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Persons with disabilities'],"['Cultural rights', 'Legal & institutional reform', 'Cooperation with international organizations', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'Right to participate in public affairs & right to vote']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Media'],"['Cultural rights', 'Human rights education, trainings & awareness raising']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Youth & juveniles', 'Migrants', 'Women & girls', 'Persons with disabilities']","['Cultural rights', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Educational staff & students'],"['Cultural rights', 'Human rights education, trainings & awareness raising']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Educational staff & students'],"['Cultural rights', 'Legal & institutional reform', 'Human rights & climate change', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of thought, conscience & religion']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', ' Right to development']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion', 'Access to justice & remedy', 'Human rights & climate change', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Cultural rights', 'Advancement of women', 'Human rights education, trainings & awareness raising', 'Freedom of thought, conscience & religion', ' Participation of women in political & public life\xa0']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Youth & juveniles', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Budget & resources (for human rights implementation)']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Educational staff & students', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Educational staff & students'],"['Cultural rights', 'Human rights education, trainings & awareness raising', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Educational staff & students']","['Cultural rights', 'Human rights education, trainings & awareness raising', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Educational staff & students']","['Cultural rights', 'Human rights education, trainings & awareness raising', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Educational staff & students']","['Cultural rights', 'Human rights education, trainings & awareness raising', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],['Cultural rights'],['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Business & Human Rights', 'Cultural rights', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Educational staff & students', 'Judges, lawyers and prosecutors']","['Cultural rights', 'Freedom of thought, conscience & religion', 'Human rights & climate change', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Women & girls', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion', 'Discrimination against women', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Lesbian, gay, bisexual and transgender and intersex persons (LGBTI)', 'Vulnerable persons/groups', 'Women & girls', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Rule of law & impunity', 'Cultural rights', 'Liberty & security of the person', 'Freedom of thought, conscience & religion', ' Scope of international obligations', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Cooperation & consultation with civil society', 'Freedom of thought, conscience & religion']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion', 'Human rights & climate change', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Youth & juveniles', 'Media', 'Persons deprived of their liberty & detainees']","['Economic, social & cultural rights - general measures of implementation', 'Cultural rights', 'Human rights education, trainings & awareness raising', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information', 'Right to education']",['Concerns/Observations']
