year,country,term,concerned-group,human-rights-theme,annotaion type
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Pending follow-up issues from the previous reporting cycle,"['Law enforcement / police & prison officials', 'Military personnel']","['Cooperation & Follow up with Treaty Bodies', 'National Human Rights Institution (NHRI)']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Definition and criminalization of torture,['Public officials'],"[' Right to physical & moral integrity', 'Death penalty', 'Constitutional & legislative framework', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Definition and criminalization of torture,['Public officials'],"[' Right to physical & moral integrity', 'Rule of law & impunity', 'Legal & institutional reform', 'Death penalty', 'Constitutional & legislative framework', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Statute of limitations,['not provided'],"['Rule of law & impunity', 'Constitutional & legislative framework', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Statute of limitations,['not provided'],"['Rule of law & impunity', 'Constitutional & legislative framework', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Fundamental legal safeguards,"['Law enforcement / police & prison officials', 'Children', 'Youth & juveniles', 'Persons deprived of their liberty & detainees']","['Rule of law & impunity', 'Children: juvenile justice', 'Administration of justice & fair trial', 'Private life & privacy', 'Access to justice & remedy', 'Right to health', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)', 'Conditions of detention']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Fundamental legal safeguards,"['Law enforcement / police & prison officials', 'Children', 'Medical staff / health professionals', 'Youth & juveniles', 'Persons deprived of their liberty & detainees']","['Rule of law & impunity', 'Children: juvenile justice', 'Administration of justice & fair trial', 'Private life & privacy', 'Right to health', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)', 'Conditions of detention']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],National human rights institution,['Persons deprived of their liberty & detainees'],"['Constitutional & legislative framework', 'Ratification of & accession to international instruments', 'National Human Rights Institution (NHRI)', 'Conditions of detention', 'National Preventive Mechanism (NPM)']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],National human rights institution,['Persons deprived of their liberty & detainees'],"['Private life & privacy', 'Constitutional & legislative framework', 'Ratification of & accession to international instruments', 'National Human Rights Institution (NHRI)', 'Conditions of detention']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Conditions of detention,"['Medical staff / health professionals', 'Persons living in rural areas', 'Persons deprived of their liberty & detainees']","['Rule of law & impunity', 'Right to life', 'Labour rights and right to work', 'Right to health', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)', 'Conditions of detention', 'Right to an adequate standard of living']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Conditions of detention,"['Law enforcement / police & prison officials', 'Medical staff / health professionals', 'Persons deprived of their liberty & detainees', 'Persons with disabilities']","['Rule of law & impunity', 'Legal & institutional reform', 'Right to life', 'National Human Rights Action Plans (or specific areas) / implementation plans', 'Right to health', 'Constitutional & legislative framework', 'Independent Monitoring Mechanism (IMM)', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)', 'Conditions of detention', 'Budget & resources (for human rights implementation)', 'Right to an adequate standard of living']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],National Security Act,['not provided'],"['Arbitrary arrest & detention', 'Legal & institutional reform', ' Human rights & counter-terrorism', 'Constitutional & legislative framework']",['Concerns/Observations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],National Security Act,['not provided'],"['Arbitrary arrest & detention', 'Legal & institutional reform', ' Human rights & counter-terrorism', 'Constitutional & legislative framework']",['Recommendations']
 CAT/C/KOR/CO/6 (CAT 2024 ) ,['Republic of Korea'],Death penalty,['not provided'],"['Rule of law & impunity', 'Death penalty', 'Right to life', 'Constitutional & legislative framework']",['Concerns/Observations']
