Year,"Country of origin","Country of asylum",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2017,Afghanistan,Germany,G,NA,P,17718,32647,56309,5918,112592
2020,Colombia,Spain,G,FI,P,624,152,37907,0,38683
2015,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,NA,P,17,124,37130,3981,41252
2015,Albania,Germany,G,NA,P,5,69,31086,4075,35235
2016,Albania,Germany,G,NA,P,18,139,29681,5400,35238
2016,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,NA,P,13,156,25836,4293,30298
2016,Afghanistan,Germany,G,NA,P,13647,24108,24734,4892,67381
2017,Iraq,Germany,G,NA,P,24009,15489,21751,7713,68962
2014,Zimbabwe,"South Africa",G,FI,P,15,0,20244,10,20269
2021,Colombia,Spain,G,FI,P,1169,53,18619,0,19841
2015,Zimbabwe,"South Africa",G,FI,P,5,0,17201,0,17206
2018,"Syrian Arab Rep.",Germany,G,JR,P,8877,1087,16075,8815,34854
2017,"Unknown ",France,G,FI,P,7140,4331,15840,432,27743
2017,Afghanistan,Sweden,G,FI,P,4476,4110,15560,659,24805
2022,Colombia,Spain,G,FI,P,646,205,15336,1098,17285
2018,Nigeria,Italy,G,FI,P,1335,3365,15152,16,19868
2023,Colombia,Spain,G,FI,P,724,272,15089,696,16781
2019,"Unknown ",France,G,FI,P,6672,3178,14815,575,25240
2017,Pakistan,Germany,G,NA,P,487,367,14605,3631,19090
2018,"Unknown ",France,G,FI,P,8984,4642,14543,356,28525
2023,Türkiye,Germany,G,FI,P,2780,235,14300,5761,23076
2016,Iraq,Germany,G,NA,P,36149,11139,14074,5757,67119
2016,Nigeria,Italy,G,FI,P,516,4077,13795,0,18388
2014,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,NA,P,5,58,13770,2761,16594
2019,Nigeria,Italy,G,FI,P,2474,448,13721,26,16669
2024,Türkiye,Germany,G,FI,P,1759,127,12857,5758,20501
2014,Zimbabwe,"South Africa",G,AR,P,0,0,12652,1236,13888
2017,Nigeria,Germany,G,NA,P,1538,2328,12484,6002,22352
2017,Nigeria,Italy,G,FI,P,787,3557,12441,2418,19203
2019,"El Salvador","United States of America",G,EO,P,2585,0,12071,2740,17396
2019,Guatemala,"United States of America",G,EO,P,1811,0,11756,3361,16928
2022,Iraq,Germany,G,FI,P,2838,1943,11694,4173,20648
2017,"Syrian Arab Rep.",Germany,G,JR,P,18594,476,11688,9414,40172
2017,"Iran (Islamic Rep. of)",Germany,G,NA,P,13881,934,11174,3607,29596
2014,"Unknown ",France,G,FI,P,5609,934,10659,0,17202
2019,Honduras,"United States of America",G,EO,P,1448,0,10578,3091,15117
2015,"Unknown ",France,G,FI,P,6215,1165,10544,0,17924
2022,"Venezuela (Bolivarian Republic of)",Spain,G,FI,P,5,20583,10430,216,31234
2019,Pakistan,Italy,G,FI,P,718,1096,10156,46,12016
2017,Albania,France,G,FI,P,135,527,9702,170,10534
2016,Iraq,Finland,G,FI,P,2014,754,9510,3875,16153
2016,"Unknown ",France,G,FI,P,7181,2950,9351,0,19482
2015,Zimbabwe,"South Africa",G,AR,P,0,0,9323,595,9918
2018,Malaysia,Australia,G,FI,P,113,0,9310,1038,10461
2019,Mexico,"United States of America",G,IN,C,1114,0,9107,2915,13136
2019,Afghanistan,Germany,G,JR,P,1606,7043,9103,7627,25379
2017,"Russian Federation",Germany,G,NA,P,707,651,9075,3973,14406
2023,Bangladesh,France,G,FI,P,520,226,9049,13,9808
2015,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,JR,P,0,114,9013,14789,23916
2023,Türkiye,France,G,FI,P,1762,108,8983,63,10916
2018,Afghanistan,Sweden,G,JR,P,367,280,8909,1154,10710
2015,Nigeria,Italy,G,FI,P,343,3400,8852,0,12595
2024,Colombia,Spain,G,FI,P,318,176,8385,453,9332
2019,"Syrian Arab Rep.",Germany,G,JR,P,2651,1282,8345,7054,19332
2015,Ethiopia,"South Africa",G,FI,P,1001,0,8306,0,9307
2018,Afghanistan,Germany,G,JR,P,1663,9598,8274,8715,28250
2019,Iraq,Germany,G,JR,P,653,1742,8182,6212,16789
2016,Pakistan,Germany,G,NA,P,263,144,8109,2556,11072
2017,Malaysia,Australia,G,FI,P,12,0,7964,0,7976
2016,Zimbabwe,"South Africa",G,FI,P,73,0,7869,0,7942
2016,"North Macedonia",Germany,G,NA,P,5,35,7814,1571,9425
2021,Bangladesh,France,G,FI,P,325,101,7807,5,8238
2023,Georgia,Germany,G,FI,P,10,20,7794,1081,8905
2019,Bangladesh,Italy,G,FI,P,280,255,7751,5,8291
